ts_ns,syscall,proc_name,tid,evt_cpu,label
1780373042200675187,clock_gettime,user,134397,0,0
1780373042200675575,clock_gettime,user,134397,0,0
1780373042200675864,select,user,134397,0,0
1780373042200682132,switch,user,134397,0,0
1780373042200687675,write,user,134036,1,0
1780373042200687675,clock_gettime,user,134036,1,0
1780373042200687675,clock_gettime,user,134036,1,0
1780373042200687675,clock_gettime,user,134036,1,0
1780373042200687675,clock_gettime,user,134036,1,0
1780373042200691267,clock_gettime,user,134036,1,0
1780373042200691267,clock_gettime,user,134036,1,0
1780373042200691267,clock_gettime,user,134036,1,0
1780373042200691267,clock_gettime,user,134036,1,0
1780373042200693158,futex,user,134036,1,0
1780373042200701854,switch,user,134036,1,0
1780373042201158830,select,user,134397,0,0
1780373042201160302,clock_gettime,user,134397,0,0
1780373042201160780,clock_gettime,user,134397,0,0
1780373042201161158,futex,user,134397,0,0
1780373042201166662,switch,user,134397,0,0
1780373042201168672,epoll_wait,user,134399,0,0
1780373042201170383,clock_gettime,user,134399,0,0
1780373042201170791,clock_gettime,user,134399,0,0
1780373042201174403,futex,user,134399,0,0
1780373042201176095,futex,user,134399,0,0
1780373042201176433,read,user,134399,0,0
1780373042201179597,read,user,134399,0,0
1780373042201187458,read,user,134399,0,0
1780373042201188473,read,user,134399,0,0
1780373042201217748,read,user,134399,0,0
1780373042201219499,read,user,134399,0,0
1780373042201222037,futex,user,134399,0,0
1780373042201225380,futex,user,134399,0,0
1780373042201226276,clock_gettime,user,134399,0,0
1780373042201226714,clock_gettime,user,134399,0,0
1780373042201227151,clock_gettime,user,134399,0,0
1780373042201227549,clock_gettime,user,134399,0,0
1780373042201228873,read,user,134399,0,0
1780373042201229559,read,user,134399,0,0
1780373042201229559,futex,user,134036,1,0
1780373042201230699,epoll_wait,user,134036,1,0
1780373042201231545,epoll_wait,user,134036,1,0
1780373042201232570,epoll_wait,user,134036,1,0
1780373042201234192,switch,user,134036,1,0
1780373042201328977,clock_gettime,user,134399,0,0
1780373042201329853,clock_gettime,user,134399,0,0
1780373042201330241,clock_gettime,user,134399,0,0
1780373042201330599,clock_gettime,user,134399,0,0
1780373042201330858,clock_gettime,user,134399,0,0
1780373042201331246,clock_gettime,user,134399,0,0
1780373042201331584,clock_gettime,user,134399,0,0
1780373042201331942,clock_gettime,user,134399,0,0
1780373042201333385,write,user,134399,0,0
1780373042201344898,write,user,134399,0,0
1780373042201345933,clock_gettime,user,134399,0,0
1780373042201346341,clock_gettime,user,134399,0,0
1780373042201346619,clock_gettime,user,134399,0,0
1780373042201346967,clock_gettime,user,134399,0,0
1780373042201347196,clock_gettime,user,134399,0,0
1780373042201347555,clock_gettime,user,134399,0,0
1780373042201347843,clock_gettime,user,134399,0,0
1780373042201348191,clock_gettime,user,134399,0,0
1780373042201352093,futex,user,134399,0,0
1780373042201354770,switch,user,134399,0,0
1780373042201356222,futex,user,134397,0,0
1780373042201356799,clock_gettime,user,134397,0,0
1780373042201357178,clock_gettime,user,134397,0,0
1780373042201357426,clock_gettime,user,134397,0,0
1780373042201357775,clock_gettime,user,134397,0,0
1780373042201358501,select,user,134397,0,0
1780373042201372252,switch,user,134397,0,0
1780373042201728140,epoll_wait,user,134036,1,0
1780373042201731811,clock_gettime,user,134036,1,0
1780373042201731811,clock_gettime,user,134036,1,0
1780373042201734229,select,user,134397,0,0
1780373042201735841,clock_gettime,user,134397,0,0
1780373042201736259,clock_gettime,user,134397,0,0
1780373042201736259,read,user,134036,1,0
1780373042201736667,clock_gettime,user,134397,0,0
1780373042201737075,clock_gettime,user,134397,0,0
1780373042201737682,select,user,134397,0,0
1780373042201739135,read,user,134036,1,0
1780373042201749314,read,user,134036,1,0
1780373042201750359,read,user,134036,1,0
1780373042201750667,switch,user,134397,0,0
1780373042201751782,read,user,134036,1,0
1780373042201751782,read,user,134036,1,0
1780373042201791889,futex,user,134036,1,0
1780373042201799461,futex,user,134036,1,0
1780373042201800555,clock_gettime,user,134036,1,0
1780373042201801023,clock_gettime,user,134036,1,0
1780373042201801630,clock_gettime,user,134036,1,0
1780373042201802079,clock_gettime,user,134036,1,0
1780373042201803741,read,user,134036,1,0
1780373042201804596,read,user,134036,1,0
1780373042201839662,clock_gettime,user,134036,1,0
1780373042201839662,clock_gettime,user,134036,1,0
1780373042201839662,clock_gettime,user,134036,1,0
1780373042201839662,clock_gettime,user,134036,1,0
1780373042201839662,clock_gettime,user,134036,1,0
1780373042201839662,clock_gettime,user,134036,1,0
