ts_ns,syscall,proc_name,tid,evt_cpu,label
1780278290321203334,futex,node,170304,0,0
1780278290321205573,switch,node,170304,0,0
1780278290321244112,clock_gettime,node,170295,0,0
1780278290321245187,clock_gettime,node,170295,0,0
1780278290321264124,clock_gettime,node,170295,0,0
1780278290321265059,clock_gettime,node,170295,0,0
1780278290321266203,clock_gettime,node,170295,0,0
1780278290321266910,clock_gettime,node,170295,0,0
1780278290321267925,epoll_wait,node,170295,0,0
1780278290321269835,epoll_wait,node,170295,0,0
1780278290321270562,clock_gettime,node,170295,0,0
1780278290321271308,clock_gettime,node,170295,0,0
1780278290321272193,read,node,170295,0,0
1780278290321273656,read,node,170295,0,0
1780278290321309608,futex,node,170295,0,0
1780278290321323250,futex,node,170295,0,0
1780278290321326603,clock_gettime,node,170295,0,0
1780278290321327509,clock_gettime,node,170295,0,0
1780278290321328434,clock_gettime,node,170295,0,0
1780278290321329141,clock_gettime,node,170295,0,0
1780278290321329967,epoll_wait,node,170295,0,0
1780278290321338623,switch,node,170295,0,0
1780278290321425974,futex,node,170301,1,0
1780278290321434123,read,node,170301,1,0
1780278290321478603,read,node,170301,1,0
1780278290321482215,write,node,170301,1,0
1780278290321495986,write,node,170301,1,0
1780278290321498742,futex,node,170301,1,0
1780278290321513888,epoll_wait,node,170295,0,0
1780278290321519520,clock_gettime,node,170295,0,0
1780278290321519520,clock_gettime,node,170295,0,0
1780278290321519520,switch,node,170301,1,0
1780278290321522107,read,node,170295,0,0
1780278290321522107,read,node,170295,0,0
1780278290321622816,switch,node,170295,0,0
1780278290321635811,futex,node,170295,0,0
1780278290321640139,futex,node,170295,0,0
1780278290321641642,switch,node,170295,0,0
1780278290321642965,futex,node,170303,0,0
1780278290321653393,futex,node,170303,0,0
1780278290321656528,switch,node,170303,0,0
1780278290321658329,futex,node,170295,0,0
1780278290321660617,futex,node,170295,0,0
1780278290321661533,switch,node,170295,0,0
1780278290321662678,futex,node,170303,0,0
1780278290321665783,read,node,170303,0,0
1780278290321669086,read,node,170303,0,0
1780278290321670917,write,node,170303,0,0
1780278290321674022,write,node,170303,0,0
1780278290321676091,futex,node,170303,0,0
1780278290321678221,switch,node,170303,0,0
1780278290321685455,clock_gettime,node,170295,0,0
1780278290321686490,clock_gettime,node,170295,0,0
1780278290321688291,clock_gettime,node,170295,0,0
1780278290321689007,clock_gettime,node,170295,0,0
1780278290321690181,epoll_wait,node,170295,0,0
1780278290321692102,epoll_wait,node,170295,0,0
1780278290321692818,clock_gettime,node,170295,0,0
1780278290321693524,clock_gettime,node,170295,0,0
1780278290321694271,read,node,170295,0,0
